CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,Caste,ComplainantPhone
90010,101343244202690010,202690010,2026-07-25,101105,3244,1,1,2,201,1,67,2026-07-25 20:41:00,2026-07-25 22:12:00,2026-07-25 22:54:00,14.193610,76.480957,"Based on the confidential statement of the victim recorded before the lady officer, a case has been registered against unknown persons for sexual assault that occurred at the bus stand vicinity during the evening hours. Medical examination was conducted at the district hospital. Further investigation is entrusted to the jurisdictional officer.",,
90011,101133106202690011,202690011,2026-07-26,100479,3106,1,2,3,305,1,25,2026-07-24 15:30:00,2026-07-24 21:11:00,2026-07-26 15:01:00,16.901142,75.750914,The complainant Venkatesh Poojary reported theft of a gold chain of 25 grams from the old town lanes during the daytime. the accused Suresh Byadgi took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.,,
90012,101273202202690012,202690012,2026-07-12,100911,3202,1,2,1,103,1,53,2026-07-11 21:51:00,2026-07-12 00:10:00,2026-07-12 21:55:00,15.405957,75.587770,The complainant Divya Jois stated that a quarrel at a residential layout during the evening hours escalated and unknown persons assaulted the victim Shankar Shetty with a country-made pistol causing grievous injuries. The injured was treated at the taluk hospital. A case has been registered against the accused.,,
90013,101083068202690013,202690013,2026-07-10,100308,3068,1,2,1,103,1,16,2026-07-09 23:50:00,2026-07-10 02:53:00,2026-07-10 17:30:00,15.458346,74.940804,The complainant Geetha Bhat stated that a quarrel at an apartment complex during the evening hours escalated and unknown persons assaulted the victim Sowmya Hiremath with a knife causing grievous injuries. The injured was treated at the taluk hospital. A case has been registered against the accused.,,
90014,101233173202690014,202690014,2026-07-11,100780,3173,1,2,4,401,1,45,2026-07-11 11:21:00,2026-07-11 15:45:00,2026-07-11 19:28:00,13.157324,78.044601,"The complainant Suresh Achar reported that the accused Narayana Hiremath induced him to part with funds on the promise of high returns and business partnership, and cheated him of two silver anklets and cash. The transactions occurred near Kolar West PS during business hours. Documents have been seized and a case registered.",,
90015,301153121202690015,202690015,2026-07-11,100545,3121,3,2,8,802,1,29,2026-07-11 15:53:00,2026-07-11 17:18:00,2026-07-11 20:49:00,13.919338,75.425372,The complainant Yogesh Reddy reported that the victim Gayathri Poojary was found dead at the market area during the daytime under circumstances suggesting an accidental fall. Inquest proceedings were conducted and the body was shifted for post-mortem examination. A UDR case has been registered pending final opinion.,,
90016,101013011202690016,202690016,2026-07-04,100053,3011,1,1,3,301,1,1,2026-07-01 03:44:00,2026-07-01 07:20:00,2026-07-04 06:28:00,12.921618,77.596643,"The complainant Kiran Gowda reported that a gang of five to six persons armed with machetes waylaid the victims at the market area during the night hours and committed dacoity of cash of Rs 42,000 and cash. The gang escaped in a black Pulsar motorcycle. Special teams have been formed to trace the accused.",,
90017,101033025202690017,202690017,2026-07-03,100119,3025,1,2,5,502,1,6,2026-07-03 16:00:00,2026-07-03 20:07:00,2026-07-03 20:54:00,12.315155,76.646060,The complainant Veeresh Murthy reported that his identity documents and card credentials were misused by unknown persons after an OTP fraud call claiming KYC expiry. Unauthorized transactions were noticed during the business hours. A case under the IT Act has been registered and the service provider has been notified.,,
90185,101363088202690185,202690185,2026-07-06,100395,3088,1,2,5,501,1,20,2026-07-06 08:04:00,2026-07-06 13:07:00,2026-07-06 14:13:00,15.981575,74.872528,"The complainant Manjunath Byadgi reported receiving posing as fake police on beat duty, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90018,101113090202690018,202690018,2026-07-12,100410,3090,1,1,1,104,1,21,2026-07-11 18:16:00,2026-07-11 18:27:00,2026-07-12 09:08:00,17.375163,76.844244,The complainant Manjunath Naik reported that the victim Veeresh Angadi was forcibly taken away from the bus stand vicinity during the daytime by the accused Shankar Murthy and associates in a white autorickshaw. Search teams were formed and neighbouring stations were alerted. Investigation is in progress.,,
90019,101013002202690019,202690019,2026-07-11,100014,3002,1,2,3,305,1,1,2026-07-11 12:24:00,2026-07-11 12:38:00,2026-07-11 13:34:00,12.989804,77.634510,"The complainant Sowmya Achar reported theft of cash of Rs 42,000 from a residential layout during the daytime. unknown persons took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.",,
90020,101013005202690020,202690020,2026-07-11,100026,3005,1,2,5,501,1,1,2026-07-11 15:43:00,2026-07-11 18:35:00,2026-07-11 19:41:00,12.995247,77.583650,"The complainant Raghavendra Naik reported receiving a courier-parcel scam call, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90021,101013003202690021,202690021,2026-07-03,100019,3003,1,2,7,701,1,1,2026-07-03 18:51:00,2026-07-03 20:13:00,2026-07-03 23:00:00,12.980113,77.611685,"On credible information, the raiding party intercepted unknown persons at the main road during the evening hours and seized contraband ganja along with a white autorickshaw used for transport. The complainant SI Harish Hiremath of the detection staff lodged the report. Seizure was effected in the presence of panch witnesses.",,
90022,101273200202690022,202690022,2026-07-02,100902,3200,1,2,3,305,1,54,2026-07-02 12:15:00,2026-07-02 16:36:00,2026-07-02 19:22:00,15.456346,75.663053,The complainant Harish Achar reported theft of a mobile phone from an apartment complex during the daytime. unknown persons took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.,,
90023,101013009202690023,202690023,2026-07-03,100043,3009,1,2,5,501,1,2,2026-07-03 14:29:00,2026-07-03 19:39:00,2026-07-03 22:08:00,12.955683,77.544695,"The complainant Nandini Murthy reported receiving loan-app threat messages, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90024,801323231202690024,202690024,2026-07-25,101039,3231,8,2,4,401,1,63,2026-07-25 14:57:00,2026-07-25 18:18:00,2026-07-25 20:29:00,16.899636,77.088428,"The complainant Gopal Murthy reported that unknown persons induced him to part with funds on the promise of high returns and business partnership, and cheated him of a laptop bag with documents and cash. The transactions occurred near Yadgir East PS during business hours. Documents have been seized and a case registered.",,
90025,101013005202690025,202690025,2026-07-10,100026,3005,1,2,3,306,1,2,2026-07-10 03:44:00,2026-07-10 06:04:00,2026-07-10 08:19:00,13.004903,77.575650,The complainant Vinay Swamy reported that his vehicle parked at the old town lanes was stolen during the night hours. The lock appears to have been tampered by duplicate key entry. the accused Shivakumar Bhat and associates are suspected to have escaped towards the highway. Vehicle details have been circulated to all check-posts.,,
90026,101143114202690026,202690026,2026-07-11,100515,3114,1,2,5,501,1,27,2026-07-11 15:41:00,2026-07-11 16:54:00,2026-07-11 20:39:00,14.465276,75.998768,"The complainant Anand Desai reported receiving loan-app threat messages, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90027,101313226202690027,202690027,2026-07-03,101015,3226,1,2,7,701,1,61,2026-07-03 19:17:00,2026-07-03 21:05:00,2026-07-03 23:05:00,15.283997,76.141863,"On credible information, the raiding party intercepted unknown persons at a residential layout during the evening hours and seized contraband ganja along with a stolen scooter used for transport. The complainant SI Nandini Angadi of the detection staff lodged the report. Seizure was effected in the presence of panch witnesses.",,
90186,101013011202690186,202690186,2026-07-23,100052,,1,2,3,305,1,1,2026-07-22 17:54:00,2026-07-22 21:36:00,2026-07-23 09:15:00,12.937955,77.589814,The complainant Roopa Angadi reported theft of a gold mangalsutra from an apartment complex during the daytime. the accused Somashekar Kumar took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.,,
90028,101033024202690028,202690028,2026-07-02,100118,3024,1,2,5,503,1,5,2026-07-02 13:01:00,2026-07-02 17:32:00,2026-07-02 21:16:00,12.316265,76.662175,"The complainant Sumithra Setty reported that unknown persons circulated defamatory and obscene content about the victim Venkatesh Naik on social media during the business hours, and sent threatening messages using loan-app threat messages. Screenshots were secured in the presence of witnesses. A case has been registered.",,
90029,101233175202690029,202690029,2026-07-26,100788,3175,1,1,1,101,1,45,2026-07-24 08:06:00,2026-07-24 11:47:00,2026-07-26 13:17:00,13.101650,78.126942,The complainant Geetha Achar reported that the victim Santhosh Hegde was assaulted with a wooden club at an apartment complex near Kolar South PS limits during the evening hours. The victim succumbed to injuries on the spot. unknown persons fled the scene and a case of murder has been registered. Inquest and scene-of-crime procedures were completed.,,
90030,101133112202690030,202690030,2026-07-11,100504,3112,1,2,5,503,1,25,2026-07-11 15:26:00,2026-07-11 19:25:00,2026-07-11 22:00:00,16.720713,75.694932,"The complainant Shivakumar Poojary reported that the accused Basavaraj Poojary circulated defamatory and obscene content about the victim Krishnappa Kumar on social media during the business hours, and sent threatening messages using loan-app threat messages. Screenshots were secured in the presence of witnesses. A case has been registered.",,
90031,101063051202690031,202690031,2026-07-03,100232,3051,1,2,3,305,1,11,2026-07-03 10:23:00,2026-07-03 12:01:00,2026-07-03 13:51:00,12.853740,75.186274,The complainant Basavaraj Desai reported theft of a mobile phone from the old town lanes during the daytime. the accused Srinivas Bhat took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.,,
90032,101013014202690032,202690032,2026-07-25,100063,3014,1,2,6,602,1,2,2026-07-25 16:02:00,2026-07-25 19:42:00,2026-07-25 22:38:00,12.946436,77.649830,The complainant SI Veeresh Rao reported that unknown persons formed an unlawful assembly at the bus stand vicinity during the daytime in defiance of prohibitory orders. The assembly was dispersed peacefully. A case has been registered.,,
90033,101013005202690033,202690033,2026-07-26,100028,3005,1,2,3,305,1,2,2026-07-23 18:43:00,2026-07-23 22:31:00,2026-07-26 20:44:00,12.993193,77.589799,"The complainant Mahesh Byadgi reported theft of cash of Rs 42,000 from the market area during the daytime. unknown persons took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.",,
90034,101103084202690034,202690034,2026-07-03,100377,3084,1,2,1,103,1,19,2026-07-03 18:33:00,2026-07-03 19:12:00,2026-07-03 21:56:00,16.182714,74.744327,The complainant Girish Shetty stated that a quarrel at the main road during the evening hours escalated and unknown persons assaulted the victim Narayana Setty with a wooden club causing grievous injuries. The injured was treated at the taluk hospital. A case has been registered against the accused.,,
90035,101013013202690035,202690035,2026-07-03,100058,3013,1,2,4,401,1,2,2026-07-03 09:47:00,2026-07-03 11:24:00,2026-07-03 13:33:00,12.954236,77.647405,"The complainant Nagaraj Patil reported that unknown persons induced him to part with funds on the promise of high returns and business partnership, and cheated him of a mobile phone and cash. The transactions occurred near KR Puram PS during business hours. Documents have been seized and a case registered.",,
90036,101013011202690036,202690036,2026-07-03,100054,3011,1,2,6,602,1,2,2026-07-03 17:48:00,2026-07-03 21:52:00,2026-07-03 23:28:00,12.923652,77.585944,The complainant SI Roopa Naik reported that unknown persons formed an unlawful assembly at the market area during the daytime in defiance of prohibitory orders. The assembly was dispersed peacefully. A case has been registered.,,
90037,101013003202690037,202690037,2026-07-03,100017,3003,1,1,1,102,1,1,2026-07-01 23:03:00,2026-07-02 00:51:00,2026-07-03 10:43:00,12.996711,77.618784,"On the statement of Sowmya Setty, it is alleged that unknown persons attacked the victim Somashekar Achar with a machete at the main road during the evening hours with intent to kill. The victim sustained serious injuries and was shifted to the government hospital. Investigation has been taken up.",,
90187,101283206202690187,202690187,2026-07-21,100929,3206,1,2,5,501,1,55,2026-07-21 14:41:00,2026-07-21 19:10:00,2026-07-21 22:13:00,28.6139,77.2090,"The complainant Basavaraj Hegde reported receiving an OTP fraud call claiming KYC expiry, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90038,101013004202690038,202690038,2026-07-26,100023,3004,1,2,5,501,1,2,2026-07-23 15:38:00,2026-07-23 17:27:00,2026-07-26 10:47:00,13.014826,77.600735,"The complainant Anitha Bhat reported receiving loan-app threat messages, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90039,101013005202690039,202690039,2026-07-03,100027,3005,1,2,2,202,1,1,2026-07-03 17:50:00,2026-07-03 22:42:00,2026-07-04 01:34:00,13.005924,77.585608,"The complainant Muniraju Hegde stated that her husband and in-laws subjected her to physical and mental cruelty at their residence near Koramangala PS over a prolonged period, including demands for additional dowry. She was treated for injuries after an incident during the daytime. A case has been registered.",,
90040,301183142202690040,202690040,2026-07-03,100638,3142,3,2,8,802,1,35,2026-06-30 08:48:00,2026-06-30 10:57:00,2026-07-03 15:34:00,12.926839,76.072394,The complainant Nandini Poojary reported that the victim Kavya Naik was found dead at the bus stand vicinity during the daytime under circumstances suggesting an accidental fall. Inquest proceedings were conducted and the body was shifted for post-mortem examination. A UDR case has been registered pending final opinion.,,
90041,101083072202690041,202690041,2026-07-03,100326,3072,1,1,2,204,1,15,2026-07-03 07:13:00,2026-07-03 08:19:00,2026-07-03 17:32:00,15.435472,75.064162,"It is reported by Basavaraj Shetty that the victim Pallavi Hiremath died under unnatural circumstances at her matrimonial home near Dharwad District Taluk PS within seven years of marriage, following persistent dowry harassment. Inquest was conducted in the presence of the taluk executive magistrate. A case has been registered against the husband and in-laws.",,
90042,101033029202690042,202690042,2026-07-26,100138,3029,1,2,3,305,1,6,2026-07-23 10:42:00,2026-07-23 15:50:00,2026-07-26 17:17:00,12.275933,76.629271,"The complainant Kiran Swamy reported theft of cash of Rs 42,000 from a residential layout during the daytime. unknown persons took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.",,
90043,401143114202690043,202690043,2026-07-10,100514,3114,4,2,3,305,1,28,2026-07-10 12:42:00,2026-07-10 16:47:00,2026-07-10 19:00:00,14.496155,76.027697,The complainant Jyothi Reddy reported theft of two silver anklets from an apartment complex during the daytime. the accused Prakash Murthy and associates took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.,,
90044,101283207202690044,202690044,2026-07-03,100933,3207,1,1,1,101,1,55,2026-07-03 05:05:00,2026-07-03 05:48:00,2026-07-03 20:37:00,14.727296,75.371015,The complainant Saraswathi Hiremath reported that the victim Sandeep Gowda was assaulted with a wooden club at an apartment complex near Haveri West PS limits during the evening hours. The victim succumbed to injuries on the spot. unknown persons fled the scene and a case of murder has been registered. Inquest and scene-of-crime procedures were completed.,,
90045,101013004202690045,202690045,2026-07-02,100021,3004,1,2,3,306,1,2,2026-07-02 02:40:00,2026-07-02 07:45:00,2026-07-02 09:58:00,13.007591,77.609672,The complainant Vani Hegde reported that his vehicle parked at a residential layout was stolen during the night hours. The lock appears to have been tampered by window grill removal. unknown persons are suspected to have escaped towards the highway. Vehicle details have been circulated to all check-posts.,,
90046,101033026202690046,202690046,2026-07-17,100123,3026,1,1,2,201,1,5,2026-07-17 10:06:00,2026-07-17 14:07:00,2026-07-17 15:14:00,12.343882,76.620727,"Based on the confidential statement of the victim recorded before the lady officer, a case has been registered against the accused Ganesh Angadi for sexual assault that occurred at the market area during the evening hours. Medical examination was conducted at the district hospital. Further investigation is entrusted to the jurisdictional officer.",,
90047,101013009202690047,202690047,2026-07-02,100045,3009,1,2,3,305,1,2,2026-07-02 05:24:00,2026-07-02 08:32:00,2026-07-02 17:14:00,12.966428,77.546642,The complainant Veeresh Jois reported theft of a laptop bag with documents from the market area during the daytime. the accused Narayana Patil and associates took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.,,
90188,101013013202690188,202690188,15/13/2026,100060,3013,1,2,7,701,1,1,2026-07-21 21:07:00,2026-07-21 23:31:00,2026-07-22 01:59:00,12.938676,77.635498,"On credible information, the raiding party intercepted the accused Shivakumar Achar at the main road during the evening hours and seized contraband ganja along with a grey Maruti Omni van used for transport. The complainant PI Nagaraj Naik of the detection staff lodged the report. Seizure was effected in the presence of panch witnesses.",,
90048,301323233202690048,202690048,2026-07-17,101048,3233,3,2,8,801,1,63,2026-07-17 11:43:00,2026-07-17 13:32:00,2026-07-17 15:59:00,16.746017,77.082064,The complainant Gopal Gowda reported that the victim Kiran Poojary left home near Yadgir North PS during the daytime and has not returned since. Searches in hospitals and with relatives yielded no result. A missing person report has been registered and the description circulated to all units.,,
90049,301013001202690049,202690049,2026-07-10,100011,3001,3,2,8,801,1,2,2026-07-09 11:45:00,2026-07-09 17:32:00,2026-07-10 09:14:00,12.973660,77.619030,The complainant Kavya Patil reported that the victim Roopa Hiremath left home near Peenya PS during the daytime and has not returned since. Searches in hospitals and with relatives yielded no result. A missing person report has been registered and the description circulated to all units.,,
90050,101313220202690050,202690050,2026-07-12,100995,3220,1,1,3,302,1,61,2026-07-08 21:37:00,2026-07-09 02:34:00,2026-07-12 12:53:00,15.356559,76.199622,The complainant Lakshmamma Poojary stated that the accused Gopal Achar and associates threatened him with a country-made pistol at the bus stand vicinity during the evening hours and robbed a gold chain of 25 grams. The accused escaped on a two-wheeler without number plate. A case has been registered and CCTV footage of the vicinity is being examined.,,
90051,301103082202690051,202690051,2026-07-02,100372,3082,3,2,8,801,1,20,2026-07-02 08:08:00,2026-07-02 08:55:00,2026-07-02 18:49:00,16.135609,74.806272,The complainant Basavaraj Kulkarni reported that the victim Santhosh Naik left home near Belagavi District Rural PS during the daytime and has not returned since. Searches in hospitals and with relatives yielded no result. A missing person report has been registered and the description circulated to all units.,,
90052,101013003202690052,202690052,2026-07-03,100018,3003,1,2,2,203,1,2,2026-06-30 15:53:00,2026-06-30 18:55:00,2026-07-03 08:30:00,12.975019,77.611754,The complainant Chaitra Hiremath reported that the accused Thimmaiah Hiremath outraged the modesty of the victim Vani Shetty at the old town lanes during the evening hours. The accused also hurled abuses when confronted by passers-by. A case has been registered and statements recorded.,,
90053,101013007202690053,202690053,2026-07-03,100033,3007,1,2,3,305,1,1,2026-07-02 17:16:00,2026-07-02 22:42:00,2026-07-03 18:27:00,13.000262,77.547981,The complainant Divya Kumar reported theft of a laptop bag with documents from a residential layout during the daytime. the accused Narayana Hiremath took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.,,
90054,101103083202690054,202690054,2026-07-17,100375,3083,1,2,5,501,1,19,2026-07-17 12:41:00,2026-07-17 17:59:00,2026-07-17 21:34:00,16.151616,74.771074,"The complainant Puneeth Desai reported receiving posing as bank staff for card renewal, following which an amount was fraudulently debited from his bank account. The fraudster kept the complainant engaged on the call during the business hours and obtained the OTP. The cyber cell has been alerted and the money trail is being traced.",,
90055,101343247202690055,202690055,2026-07-11,101114,3247,1,2,3,306,1,68,2026-07-11 20:04:00,2026-07-11 22:13:00,2026-07-11 23:03:00,14.257983,76.402600,The complainant Thimmaiah Bhat reported that his vehicle parked at an apartment complex was stolen during the night hours. The lock appears to have been tampered by gas-cutter on the shutter. the accused Muniraju Byadgi are suspected to have escaped towards the highway. Vehicle details have been circulated to all check-posts.,,
90056,101063054202690056,202690056,2026-07-02,100241,3054,1,2,3,305,1,12,2026-07-02 08:58:00,2026-07-02 14:56:00,2026-07-02 16:58:00,12.771414,75.316573,"The complainant Girish Poojary reported theft of cash of Rs 42,000 from the old town lanes during the daytime. the accused Venkatesh Hiremath and associates took advantage of the crowd and escaped. A case has been registered and nearby CCTV cameras are being verified.",,
90057,301103088202690057,202690057,2026-07-03,100396,3088,3,2,8,801,1,19,2026-07-01 00:51:00,2026-07-01 02:50:00,2026-07-03 10:09:00,15.986669,74.858415,The complainant Deepa Achar reported that the victim Shruthi Naik left home near Belagavi District Market PS during the daytime and has not returned since. Searches in hospitals and with relatives yielded no result. A missing person report has been registered and the description circulated to all units.,,
